sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2020-01-17;314,54;311,40;313,58;;1;;
2020-01-16;311,24;306,94;311,24;;1;;
2020-01-15;308,11;305,84;306,94;;1;;
2020-01-14;308,10;304,43;307,91;;1;;
2020-01-13;308,79;305,92;307,49;;1;;
2020-01-10;309,15;306,42;306,54;;1;;
2020-01-09;311,05;308,05;308,56;;1;;
2020-01-08;308,57;304,72;308,34;;1;;
2020-01-07;310,09;306,52;308,58;;1;;
2020-01-03;310,23;305,44;306,59;;1;;
2020-01-02;310,88;304,29;310,61;;1;
